CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
40ee97484aba   productor           0.62%     1.291GiB / 3.823GiB   33.78%    2.42kB / 823B     2.43MB / 0B      2
df9b3263d5c5   consumidor_redis2   16.17%    19.49MiB / 3.823GiB   0.50%     47.4kB / 61kB     4.46MB / 0B      2
6e85ac607f95   consumidor_mongo3   1.55%     30.02MiB / 3.823GiB   0.77%     55.3kB / 61kB     4.35MB / 0B      8
52327ce982a8   consumidor_redis4   1.15%     19.03MiB / 3.823GiB   0.49%     47.3kB / 60kB     549kB / 0B       2
986f9a8d571d   cliente_atm         0.02%     25.4MiB / 3.823GiB    0.65%     19.4kB / 28.6kB   11MB / 0B        1
c7e7fefd2ff5   consumidor_redis1   2.11%     19.2MiB / 3.823GiB    0.49%     46.2kB / 56.5kB   1.61MB / 0B      2
419d1a66ad25   sectorizador        0.00%     24.57MiB / 3.823GiB   0.63%     16.1kB / 21.7kB   23.9MB / 0B      4
287dc782ef1b   consumidor_redis3   0.91%     18.98MiB / 3.823GiB   0.48%     48.1kB / 60.6kB   36.9kB / 0B      2
b46a6a7a11f6   consumidor_mongo2   1.39%     30.01MiB / 3.823GiB   0.77%     56kB / 61.9kB     5.43MB / 0B      8
5efedfa0f876   consumidor_mongo4   0.77%     29.86MiB / 3.823GiB   0.76%     55.4kB / 60.8kB   4.49MB / 0B      8
82a1fb9fe702   consumidor_mongo1   0.71%     29.91MiB / 3.823GiB   0.76%     56.9kB / 62.9kB   5.52MB / 0B      8
753b27d990ef   cliente_historico   0.10%     26.62MiB / 3.823GiB   0.68%     14.1kB / 5.54kB   7.18MB / 0B      4
530f4ddb2be4   kafka_ui            170.45%   235.5MiB / 3.823GiB   6.02%     2.34kB / 126B     72.7MB / 115kB   22
a904fd02bd23   mongodb             98.96%    150MiB / 3.823GiB     3.83%     27.8kB / 46.4kB   150MB / 0B       61
ceb0d2ea3b2c   redis               14.70%    9.406MiB / 3.823GiB   0.24%     46.1kB / 24.8kB   16.5MB / 0B      6
7ee7bfcd070a   kafka               190.06%   546.4MiB / 3.823GiB   13.96%    468kB / 357kB     73.3MB / 238kB   156
